combined	chromosome	haplotype	region	subtelomeric	acrocentric	repeat	gene
1	7	1	18	3	7	20	3
2	26	2	20	5	7	20	3
3	30	2	9	5	7	20	2
4	30	2	20	5	7	20	2
5	30	2	20	1	7	20	2
6	30	2	20	5	7	20	3
7	30	2	20	5	7	10	3
8	12	2	20	3	7	20	3
9	30	2	20	3	7	20	3
10	26	2	20	3	7	20	3
11	30	2	20	3	7	20	2
12	30	2	20	3	7	10	2
13	30	2	20	3	7	6	3
14	26	2	9	3	7	20	3
15	26	2	20	3	7	7	2
16	26	2	20	5	7	20	2
17	30	2	20	3	7	20	1
18	26	2	20	3	7	20	1
19	7	2	20	3	7	20	3
20	26	2	18	3	7	20	3
21	26	2	18	3	7	20	2
22	30	2	18	3	7	20	2
23	30	2	18	3	7	20	3
24	26	2	18	5	7	20	2
25	12	2	18	3	7	20	3
26	7	1	18	6	7	20	3
27	7	1	18	4	7	20	3
28	26	2	20	4	7	20	3
29	26	2	20	4	7	20	2
30	30	2	20	4	7	20	1
31	26	2	18	4	7	20	2
32	30	2	20	4	7	20	2
33	12	2	20	4	7	20	3
34	26	2	20	4	7	20	1
35	26	2	20	4	7	10	1
36	26	2	20	4	7	10	3
37	26	2	20	4	7	10	2
38	26	2	20	6	7	10	2
39	26	2	20	6	7	10	3
40	26	2	20	6	7	11	2
41	26	2	20	6	7	11	3
42	26	2	20	6	7	6	3
43	26	2	20	6	7	6	2
44	26	2	20	6	7	6	1
45	30	2	20	6	7	6	2
46	26	2	20	6	7	11	1
47	26	2	20	6	7	10	1
48	30	2	20	6	7	10	3
49	30	2	20	6	7	10	2
50	7	1	18	6	7	10	3
51	26	2	18	6	7	10	3
52	26	2	18	6	7	6	3
53	7	1	18	6	7	6	3
54	26	2	9	6	7	10	2
55	26	2	9	6	7	10	3
56	26	2	9	6	7	10	1
57	26	2	9	6	7	11	3
58	26	2	9	6	7	6	2
59	26	2	9	6	7	6	1
60	26	2	9	6	7	6	3
61	12	2	18	6	7	6	2
62	26	2	20	6	7	20	1
