combined	chromosome	haplotype	region	subtelomeric	acrocentric	repeat	gene
1	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
2	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	telomere_like_multigroup1	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
3	categorized	hap1_specific_repetitive	ct_specific	telomere_like_multigroup1	nonacrocentric_specific	nonrepeat_specific	intron_specific
4	categorized	hap1_specific_repetitive	arm_multigroup1	telomere_like_multigroup1	nonacrocentric_specific	nonrepeat_specific	intron_specific
5	categorized	hap1_specific_repetitive	arm_multigroup1	canonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
6	categorized	hap1_specific_repetitive	arm_multigroup1	telomere_like_multigroup1	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
7	categorized	hap1_specific_repetitive	arm_multigroup1	telomere_like_multigroup1	nonacrocentric_specific	LTR_specific	intergenic_specific
8	metacentric_multigroup1	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
9	categorized	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
10	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
11	categorized	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
12	categorized	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	LTR_specific	intron_specific
13	categorized	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	LINE_specific	intergenic_specific
14	autosome_multigroup1	hap1_specific_repetitive	ct_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
15	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	Retroposon_specific	intron_specific
16	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	telomere_like_multigroup1	nonacrocentric_specific	nonrepeat_specific	intron_specific
17	categorized	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
18	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
19	chr1_specific	hap1_specific_repetitive	arm_multigroup1	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
20	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
21	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
22	categorized	hap1_specific_repetitive	p_arm_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
23	categorized	hap1_specific_repetitive	p_arm_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
24	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	telomere_like_multigroup1	nonacrocentric_specific	nonrepeat_specific	intron_specific
25	metacentric_multigroup1	hap1_specific_repetitive	p_arm_specific	noncanonical_telomere_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
26	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
27	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
28	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
29	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
30	categorized	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
31	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
32	categorized	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
33	metacentric_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	intergenic_specific
34	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
35	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	LTR_specific	exon_specific
36	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	LTR_specific	intergenic_specific
37	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	TAR1_specific	nonacrocentric_specific	LTR_specific	intron_specific
38	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
39	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intergenic_specific
40	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	intron_specific
41	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	intergenic_specific
42	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intergenic_specific
43	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
44	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	exon_specific
45	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
46	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	exon_specific
47	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	exon_specific
48	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intergenic_specific
49	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
50	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intergenic_specific
51	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intergenic_specific
52	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intergenic_specific
53	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intergenic_specific
54	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
55	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intergenic_specific
56	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	exon_specific
57	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	intergenic_specific
58	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
59	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	exon_specific
60	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intergenic_specific
61	metacentric_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
62	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
63	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
64	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	exon_specific
65	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	exon_specific
66	metacentric_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	exon_specific
67	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	exon_specific
68	metacentric_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
69	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
70	autosome_multigroup1	hap1_specific_repetitive	ct_specific	ITS_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
71	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	ITS_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
