featureset	feature	threshold	median_nonzero	n_nonzero	n_total
acrocentric	DJ	0.0018534187961226779	0.0055602563883680334	1890	2197
acrocentric	PHR	0.0058980296212154315	0.017694088863646294	2043	2197
acrocentric	SST1	0.001	2.016419100443318e-05	306	2197
acrocentric	acrocentric_multigroup1	0.001	0.00014054418709242187	13	2197
acrocentric	array_multigroup1	0.001	0.0003918806757221429	1536	2197
acrocentric	nonacrocentric	0.05	0.9735624399428415	2197	2197
acrocentric	novel	0.001	0.0013188125660671373	1452	2197
acrocentric	rDNA	0.001	0.0006738387898784767	1635	2197
chromosome	acrocentric_multigroup1	0.001	0.0010619576430608653	1321	2197
chromosome	autosome_multigroup1	0.04352601949745984	0.13057805849237952	2169	2197
chromosome	categorized	0.00408478706843213	0.01225436120529639	1796	2197
chromosome	chr1	0.001	0.00023497796613867236	1442	2197
chromosome	chr10	0.001	0.0001748940580413399	1454	2197
chromosome	chr11	0.001	0.00024641489329417835	1452	2197
chromosome	chr12	0.001	0.00013244635339416618	1328	2197
chromosome	chr13	0.001	8.417505944037387e-05	1060	2197
chromosome	chr14	0.001	6.104154313021034e-05	977	2197
chromosome	chr15	0.001	0.00019744631703141427	1300	2197
chromosome	chr16	0.001	0.00018630548890570363	1296	2197
chromosome	chr17	0.001	0.0001097527731378951	1174	2197
chromosome	chr18	0.001	0.00010299330265206886	1182	2197
chromosome	chr19	0.001	0.00014997409538352466	1397	2197
chromosome	chr2	0.001	0.0003479471120389701	1647	2197
chromosome	chr20	0.001	0.0004418390461255072	1523	2197
chromosome	chr21	0.001	0.00011539682168196518	1242	2197
chromosome	chr22	0.001	0.00018167284354334714	1211	2197
chromosome	chr3	0.001	0.0002985767839962844	1577	2197
chromosome	chr4	0.001	0.00020078305391024997	1383	2197
chromosome	chr5	0.001	0.00014871174131073837	1299	2197
chromosome	chr6	0.001	0.00015097884618610658	1321	2197
chromosome	chr7	0.001	0.00022825854838655148	1466	2197
chromosome	chr8	0.001	0.00010959061684159278	1252	2197
chromosome	chr9	0.001	0.000324254261708277	1454	2197
chromosome	chrX	0.001	7.938799076212472e-05	1101	2197
chromosome	chrY	0.001	0.0001013910830691232	852	2197
chromosome	metacentric_multigroup1	0.0013980860502357379	0.004194258150707213	1650	2197
chromosome	novel	0.001	0.0012740816241874025	1679	2197
chromosome	sex_multigroup1	0.001	7.75895512737618e-05	541	2197
chromosome	submetacentric_multigroup1	0.016807731556515996	0.05042319466954799	2091	2197
gene	exon	0.05	0.25943327442323627	2150	2197
gene	intergenic	0.05	0.22460511702962074	2162	2197
gene	intron	0.05	0.4297439533171543	2197	2197
gene	novel	0.0061858299853325685	0.018557489955997705	2121	2197
region	active	0.001	5.809191302478782e-06	9	2197
region	arm_multigroup1	0.039978390059427334	0.11993517017828201	2185	2197
region	asat_multigroup1	0.001	2.664429574553924e-05	122	2197
region	bsat	0.001	4.209817293929443e-05	655	2197
region	censat	0.001	0.00028418678176231327	749	2197
region	centromeric_multigroup1	0.001	0.0021043138433789266	1507	2197
region	ct	0.028391722196564842	0.08517516658969453	2169	2197
region	divergent	0.001	2.441838460176667e-05	155	2197
region	gsat	0.001	0.00015154959460483443	449	2197
region	hsat1A	0.003704938683264792	0.011114816049794377	1	2197
region	hsat1B	0.001	1.6658823137439454e-05	35	2197
region	hsat2	0.001	0.0008802496001204064	4	2197
region	hsat3	0.001	0.0005575676733571371	432	2197
region	hsat_multigroup1	0.001	2.3012664636438255e-05	45	2197
region	inactive	0.001	1.7828034308615915e-05	4	2197
region	monomeric	0.001	0.0001911446506258076	939	2197
region	noncentromeric	0.001	1.6513616372862664e-05	18	2197
region	novel	0.002585311272528833	0.0077559338175865	1998	2197
region	p_arm	0.04203775815758697	0.1261132744727609	2097	2197
region	q_arm	0.05	0.21284281922736656	2159	2197
region_subtelomere_flat	ITS	0.001	0.002954452215220872	2054	2197
region_subtelomere_flat	TAR1	0.007113517610371926	0.02134055283111578	2033	2197
region_subtelomere_flat	active	0.001	5.809191302478782e-06	9	2197
region_subtelomere_flat	arm_multigroup1	0.013169826205056889	0.039509478615170665	2171	2197
region_subtelomere_flat	asat_multigroup1	0.001	2.664429574553924e-05	122	2197
region_subtelomere_flat	bsat	0.001	4.209817293929443e-05	655	2197
region_subtelomere_flat	canonical_telomere	0.0124227746420613	0.0372683239261839	1735	2197
region_subtelomere_flat	censat	0.001	0.00028418678176231327	749	2197
region_subtelomere_flat	centromeric_multigroup1	0.001	0.002229854879605819	1393	2197
region_subtelomere_flat	ct	0.027371112802934545	0.08211333840880364	2155	2197
region_subtelomere_flat	divergent	0.001	2.441838460176667e-05	155	2197
region_subtelomere_flat	gsat	0.001	2.8959233874085847e-05	70	2197
region_subtelomere_flat	hsat1A	0.003704938683264792	0.011114816049794377	1	2197
region_subtelomere_flat	hsat1B	0.001	1.6658823137439454e-05	35	2197
region_subtelomere_flat	hsat2	0.001	0.0008802496001204064	4	2197
