featureset	feature	threshold	median_nonzero	n_nonzero	n_total
acrocentric	DJ	0.0017398147343630369	0.005219444203089111	3104	4005
acrocentric	PHR	0.006642748037369898	0.019928244112109694	3627	4005
acrocentric	PJ	0.001	0.0004599947868632005	4	4005
acrocentric	SST1	0.001	2.687745576919814e-05	358	4005
acrocentric	acrocentric_multigroup1	0.001	0.0007918642176979162	15	4005
acrocentric	array_multigroup1	0.001	0.000368665293396278	2312	4005
acrocentric	nonacrocentric	0.05	0.9723939133568004	4005	4005
acrocentric	novel	0.001	0.0017436791630340018	2277	4005
acrocentric	rDNA	0.001	0.00065363546070029	2564	4005
chromosome	acrocentric_multigroup1	0.001	0.0014836009113548456	1733	4005
chromosome	autosome_multigroup1	0.02414910682133153	0.07244732046399459	3833	4005
chromosome	categorized	0.0031581286104234115	0.009474385831270235	2779	4005
chromosome	chr1	0.001	0.0002212610963743589	2218	4005
chromosome	chr10	0.001	0.00014881376256161967	1802	4005
chromosome	chr11	0.001	0.0001627728324014292	2034	4005
chromosome	chr12	0.001	0.00012224938875305622	1559	4005
chromosome	chr13	0.001	8.197691894304426e-05	1279	4005
chromosome	chr14	0.001	8.252367720874761e-05	1324	4005
chromosome	chr15	0.001	9.391886983267154e-05	1566	4005
chromosome	chr16	0.001	0.0001545616550019992	1612	4005
chromosome	chr17	0.001	0.00013069502650542858	1662	4005
chromosome	chr18	0.001	0.00017390157848039535	1656	4005
chromosome	chr19	0.001	0.00013290733234216418	1768	4005
chromosome	chr2	0.001	0.00016821093651438903	1967	4005
chromosome	chr20	0.001	0.0002574831026713872	1699	4005
chromosome	chr21	0.001	0.00012636752216820928	1260	4005
chromosome	chr22	0.001	0.0003689226614441472	1536	4005
chromosome	chr3	0.001	0.00017383242554177772	1917	4005
chromosome	chr4	0.001	0.0006003232509812976	2273	4005
chromosome	chr5	0.001	0.00011921082434285033	1573	4005
chromosome	chr6	0.001	0.00011548010855130203	1619	4005
chromosome	chr7	0.001	0.00019357894603025356	2148	4005
chromosome	chr8	0.001	8.157278775983651e-05	1428	4005
chromosome	chr9	0.001	0.0002489549583818649	2010	4005
chromosome	chrX	0.001	8.474397953648874e-05	1356	4005
chromosome	chrY	0.001	7.239032865209208e-05	693	4005
chromosome	metacentric_multigroup1	0.001	0.0016576875259013675	2149	4005
chromosome	novel	0.001	0.0012852954171185284	2445	4005
chromosome	sex_multigroup1	0.001	7.752261573232038e-05	419	4005
chromosome	submetacentric_multigroup1	0.008503877608682597	0.025511632826047792	3510	4005
gene	exon	0.05	0.16223369228186837	3538	4005
gene	intergenic	0.05	0.18147219098693884	3875	4005
gene	intron	0.05	0.5295847644119038	4005	4005
gene	novel	0.0033743760323399854	0.010123128097019957	3674	4005
region	active	0.05	0.80345298349453	234	4005
region	arm_multigroup1	0.031692955279756276	0.09507886583926883	3972	4005
region	asat_multigroup1	0.001	0.0010828099751786636	265	4005
region	bsat	0.001	5.823668709336437e-05	790	4005
region	censat	0.001	0.00014095601343227894	843	4005
region	centromeric_multigroup1	0.001	0.0018846667305617202	2278	4005
region	ct	0.025884083027791854	0.07765224908337556	3699	4005
region	divergent	0.001	0.00017256893512640673	269	4005
region	gsat	0.001	0.00019336749492410325	455	4005
region	hor_multigroup1	0.005526443890845574	0.016579331672536723	229	4005
region	hsat1A	0.05	0.6425751025546363	36	4005
region	hsat1B	0.001	3.708281829419036e-05	25	4005
region	hsat1_multigroup1	0.001	0.0011362272454490897	19	4005
